(0.000000, 3.893469)       (0.000000, 11.591953)
(0.100000, 3.622802)       (0.100000, 11.024603)
(0.200000, 11.857675)       (0.200000, 9.378087)
(0.300000, -3.807046)       (0.300000, 6.813579)
(0.400000, -0.926918)       (0.400000, 3.582111)
(0.500000, -0.000000)       (0.500000, 0.000000)
(0.600000, 0.926918)       (0.600000, -3.582111)
(0.700000, 3.807046)       (0.700000, -6.813579)
(0.800000, -11.857675)       (0.800000, -9.378087)
(0.900000, -3.622802)       (0.900000, -11.024603)
(1.000000, -3.893469)       (1.000000, -11.591953)
